replication,strategy,budget,best_r2
1,AIBA,1,-0.1205989226247095
1,AIBA,2,0.9919526904311337
1,AIBA,3,0.9919526904311337
1,AIBA,4,0.9919526904311337
1,AIBA,5,0.9919526904311337
1,AIBA,6,0.9919526904311337
1,AIBA,7,0.9919526904311337
1,AIBA,8,0.9919526904311337
1,AIBA,9,0.9919526904311337
1,AIBA,10,0.9919526904311337
1,AIBA,11,0.9919526904311337
1,AIBA,12,0.9919526904311337
1,AIBA,13,0.9919526904311337
1,AIBA,14,0.9919526904311337
1,AIBA,15,0.9919526904311337
1,AIBA,16,0.9919526904311337
1,AIBA,17,0.9919526904311337
1,AIBA,18,0.9919526904311337
1,AIBA,19,0.9919526904311337
1,AIBA,20,0.9919526904311337
1,AIBA,21,0.9920871258705645
1,AIBA,22,0.9920871258705645
1,AIBA,23,0.9920871258705645
1,AIBA,24,0.9920871258705645
1,AIBA,25,0.9920871258705645
1,AIBA,26,0.9920871258705645
1,AIBA,27,0.9920871258705645
1,AIBA,28,0.9920871258705645
1,AIBA,29,0.9920871258705645
1,AIBA,30,0.9920871258705645
1,AIBA,31,0.9920871258705645
1,AIBA,32,0.9920871258705645
1,AIBA,33,0.9920871258705645
1,AIBA,34,0.9920871258705645
1,AIBA,35,0.9920871258705645
1,AIBA,36,0.9920871258705645
1,AIBA,37,0.9920871258705645
1,AIBA,38,0.9920871258705645
1,AIBA,39,0.9920871258705645
1,AIBA,40,0.9920871258705645
1,AIBA,41,0.9920871258705645
1,AIBA,42,0.9920871258705645
1,AIBA,43,0.9920871258705645
1,AIBA,44,0.9920871258705645
1,AIBA,45,0.9920871258705645
1,AIBA,46,0.9920871258705645
1,AIBA,47,0.9920871258705645
1,AIBA,48,0.9920871258705645
1,AIBA,49,0.9969387990675019
1,AIBA,50,0.9969387990675019
1,AIBA,51,0.9969387990675019
1,AIBA,52,0.9969387990675019
1,AIBA,53,0.9969387990675019
1,AIBA,54,0.9969387990675019
1,AIBA,55,0.9969387990675019
1,AIBA,56,0.9969387990675019
1,AIBA,57,0.9969387990675019
1,AIBA,58,0.9969387990675019
1,AIBA,59,0.9969387990675019
1,AIBA,60,0.9969387990675019
1,AIBA,61,0.9969387990675019
1,AIBA,62,0.9969387990675019
1,AIBA,63,0.9969387990675019
1,AIBA,64,0.9969387990675019
1,AIBA,65,0.9969387990675019
1,AIBA,66,0.9969387990675019
1,AIBA,67,0.9969387990675019
1,AIBA,68,0.9969387990675019
1,AIBA,69,0.9969387990675019
1,AIBA,70,0.9969387990675019
1,AIBA,71,0.9969387990675019
1,AIBA,72,0.9969387990675019
1,AIBA,73,0.9969387990675019
1,AIBA,74,0.9969387990675019
1,AIBA,75,0.9969387990675019
1,AIBA,76,0.9969387990675019
1,AIBA,77,0.9969387990675019
1,AIBA,78,0.9969387990675019
1,AIBA,79,0.9969387990675019
1,AIBA,80,0.9969387990675019
1,AIBA,81,0.9969387990675019
1,AIBA,82,0.9969387990675019
1,AIBA,83,0.9969387990675019
1,AIBA,84,0.9969387990675019
1,AIBA,85,0.9969387990675019
1,AIBA,86,0.9969387990675019
1,AIBA,87,0.9969387990675019
1,AIBA,88,0.9969387990675019
1,AIBA,89,0.9969387990675019
1,AIBA,90,0.9969387990675019
1,AIBA,91,0.9969387990675019
1,AIBA,92,0.9969387990675019
1,AIBA,93,0.9969387990675019
1,AIBA,94,0.9969387990675019
1,AIBA,95,0.9969387990675019
1,AIBA,96,0.9969387990675019
1,AIBA,97,0.9969387990675019
1,AIBA,98,0.9969387990675019
1,AIBA,99,0.9969387990675019
1,AIBA,100,0.9969387990675019
1,AIBA,101,0.9969387990675019
1,AIBA,102,0.9969387990675019
1,AIBA,103,0.9969387990675019
1,AIBA,104,0.9969387990675019
1,AIBA,105,0.9969387990675019
1,AIBA,106,0.9969387990675019
1,AIBA,107,0.9969387990675019
1,AIBA,108,0.9969387990675019
1,AIBA,109,0.9969387990675019
1,AIBA,110,0.9969387990675019
1,AIBA,111,0.9969387990675019
1,AIBA,112,0.9969387990675019
1,AIBA,113,0.9969387990675019
1,AIBA,114,0.9969387990675019
1,AIBA,115,0.9969387990675019
1,AIBA,116,0.9969387990675019
1,AIBA,117,0.9969387990675019
1,AIBA,118,0.9969387990675019
1,AIBA,119,0.9969387990675019
1,AIBA,120,0.9969387990675019
1,Broad,1,-0.1205989226247095
1,Broad,2,0.9919526904311337
1,Broad,3,0.9919526904311337
1,Broad,4,0.9919526904311337
1,Broad,5,0.9919526904311337
1,Broad,6,0.9919526904311337
1,Broad,7,0.9919526904311337
1,Broad,8,0.9919526904311337
1,Broad,9,0.9919526904311337
1,Broad,10,0.9919526904311337
1,Broad,11,0.9919526904311337
1,Broad,12,0.9919526904311337
1,Broad,13,0.9919526904311337
1,Broad,14,0.9919526904311337
1,Broad,15,0.9919526904311337
1,Broad,16,0.9919526904311337
1,Broad,17,0.9919526904311337
1,Broad,18,0.9919526904311337
1,Broad,19,0.9919526904311337
1,Broad,20,0.9919526904311337
1,Broad,21,0.9920871258705645
1,Broad,22,0.9920871258705645
1,Broad,23,0.9920871258705645
1,Broad,24,0.9920871258705645
1,Broad,25,0.9920871258705645
1,Broad,26,0.9920871258705645
1,Broad,27,0.9920871258705645
1,Broad,28,0.9920871258705645
1,Broad,29,0.9920871258705645
1,Broad,30,0.9920871258705645
1,Broad,31,0.9920871258705645
1,Broad,32,0.9920871258705645
1,Broad,33,0.9920871258705645
1,Broad,34,0.9920871258705645
1,Broad,35,0.9920871258705645
1,Broad,36,0.9920871258705645
1,Broad,37,0.9920871258705645
1,Broad,38,0.9920871258705645
1,Broad,39,0.9920871258705645
1,Broad,40,0.9920871258705645
1,Broad,41,0.9920871258705645
1,Broad,42,0.9920871258705645
1,Broad,43,0.9920871258705645
1,Broad,44,0.9920871258705645
1,Broad,45,0.9920871258705645
1,Broad,46,0.9920871258705645
1,Broad,47,0.9920871258705645
1,Broad,48,0.9920871258705645
1,Broad,49,0.9969387990675019
1,Broad,50,0.9969387990675019
1,Broad,51,0.9969387990675019
1,Broad,52,0.9969387990675019
1,Broad,53,0.9969387990675019
1,Broad,54,0.9969387990675019
1,Broad,55,0.9969387990675019
1,Broad,56,0.9969387990675019
1,Broad,57,0.9969387990675019
1,Broad,58,0.9969387990675019
1,Broad,59,0.9969387990675019
1,Broad,60,0.9969387990675019
1,Broad,61,0.9969387990675019
1,Broad,62,0.9969387990675019
1,Broad,63,0.9969387990675019
1,Broad,64,0.9969387990675019
1,Broad,65,0.9969387990675019
1,Broad,66,0.9969387990675019
1,Broad,67,0.9969387990675019
1,Broad,68,0.9969387990675019
1,Broad,69,0.9969387990675019
1,Broad,70,0.9969387990675019
1,Broad,71,0.9969387990675019
1,Broad,72,0.9969387990675019
1,Broad,73,0.9969387990675019
1,Broad,74,0.9969387990675019
1,Broad,75,0.9969387990675019
1,Broad,76,0.9969387990675019
1,Broad,77,0.9969387990675019
1,Broad,78,0.9969387990675019
1,Broad,79,0.9969387990675019
1,Broad,80,0.9969387990675019
1,Broad,81,0.9969387990675019
1,Broad,82,0.9969387990675019
1,Broad,83,0.9969387990675019
1,Broad,84,0.9969387990675019
1,Broad,85,0.9969387990675019
1,Broad,86,0.9969387990675019
1,Broad,87,0.9969387990675019
1,Broad,88,0.9969387990675019
1,Broad,89,0.9969387990675019
1,Broad,90,0.9969387990675019
1,Broad,91,0.9969387990675019
1,Broad,92,0.9969387990675019
1,Broad,93,0.9969387990675019
1,Broad,94,0.9969387990675019
1,Broad,95,0.9969387990675019
1,Broad,96,0.9969387990675019
1,Broad,97,0.9969387990675019
1,Broad,98,0.9969387990675019
1,Broad,99,0.9969387990675019
1,Broad,100,0.9969387990675019
1,Broad,101,0.9969387990675019
1,Broad,102,0.9969387990675019
1,Broad,103,0.9969387990675019
1,Broad,104,0.9969387990675019
1,Broad,105,0.9969387990675019
1,Broad,106,0.9969387990675019
