replication,delta_best_r2,delta_mean_r2,delta_median_r2,delta_p75_r2,delta_p90_r2,delta_above_090,delta_above_095,delta_total_seconds
1,0.0,0.13653500345407246,0.4618164775270829,0.137193416323377,0.01065067879443049,11.0,11.0,84.34794530039653
2,0.0,0.09357930010085933,0.3918686498554707,0.03720520112222203,0.008141414025896632,9.0,11.0,119.00520930020139
3,0.0,0.12033879669816513,0.4273133581349278,0.08050372437738218,0.008952960322526793,9.0,8.0,-35.165471499669366
4,-0.0008745665247780199,0.08491134148890672,0.2021532031347194,0.023103937213360015,0.0,2.0,1.0,13.583678999915719
5,0.0,0.08846696062572712,0.19281921226656584,0.06694882603916719,0.0022526258034309965,10.0,7.0,7.344660300062969
6,0.0,0.08724074515852026,0.26985224476164466,0.12453173031853715,0.011162120764135586,7.0,7.0,54.74278660013806
7,0.0009300951569535254,0.1028158853115016,0.465578594352168,0.02125442844903047,0.005619549970402149,8.0,7.0,225.54492469981778
8,0.0009767686503940887,0.1170539824956027,0.39110368233070736,0.04385892512682721,0.0035761989837206354,10.0,11.0,40.04091529967263
9,-0.0008553211255969417,0.10044537941686174,0.46079001518933765,0.0491766591636017,0.003622785256446659,6.0,5.0,59.47477020008955
10,-0.00021068230611398509,0.17202830607627462,0.5811124253747183,0.06801344945854892,0.0022724820220434427,16.0,14.0,27.324573499849066
