replication,strategy,models,best_r2,mean_r2,median_r2,p75_r2,p90_r2,above_090,above_095,training_seconds,search_seconds,total_seconds
1,AIBA,120,0.9969387990675019,0.26991573294222415,0.4299892332877868,0.9178308059078792,0.9882221997609147,34,27,430.5197735995753,7.672477100044489,438.19225069961976
1,Broad,120,0.9969387990675019,0.1333807294881517,-0.03182724423929606,0.7806373895845022,0.9775715209664843,23,16,353.84430539922323,0.0,353.84430539922323
2,AIBA,120,0.9974394012324491,0.29789334407525475,0.5353994112236964,0.960881001010811,0.9906530689606328,41,36,518.3273075993638,10.033983200090006,528.3612907994539
2,Broad,120,0.9974394012324491,0.20431404397439543,0.14353076136822568,0.9236757998885889,0.9825116549347361,32,25,409.35608149925247,0.0,409.35608149925247
3,AIBA,120,0.9982094301032671,0.15607451447067872,0.4116747556586549,0.9420116805223263,0.9912409810472093,37,29,447.8179041009862,6.117567399982363,453.93547150096856
3,Broad,120,0.9982094301032671,0.03573571777251358,-0.01563860247627291,0.8615079561449441,0.9822880207246825,28,21,489.1009430006379,0.0,489.1009430006379
4,AIBA,120,0.9979302878586147,0.29059477268062583,0.2872858283209379,0.9356820553941045,0.9875451230063006,33,27,283.70380109990947,6.654868999961764,290.35867009987123
4,Broad,120,0.9988048543833927,0.2056834311917191,0.0851326251862185,0.9125781181807445,0.9875451230063006,31,26,276.7749910999555,0.0,276.7749910999555
5,AIBA,120,0.9977317505956828,0.22393866765412745,0.18374913976838525,0.9610422052852208,0.9875160489447897,40,32,225.6970383003354,6.463481499929912,232.16051980026532
5,Broad,120,0.9977317505956828,0.13547170702840033,-0.009070072498180592,0.8940933792460536,0.9852634231413587,30,25,224.81585950020235,0.0,224.81585950020235
6,AIBA,120,0.9985285552031917,0.22937473713098017,0.3102379165200344,0.9304365401338133,0.9897431225516922,31,27,256.3722607009113,7.952301599900238,264.3245623008115
6,Broad,120,0.9985285552031917,0.1421339919724599,0.04038567175838975,0.8059048098152761,0.9785810017875566,24,20,209.58177570067346,0.0,209.58177570067346
7,AIBA,120,0.9981984013875045,0.38935542370458764,0.5632686648377404,0.9744266522612283,0.9937769198610006,45,39,648.7725234000245,7.2595741000259295,656.0320975000504
7,Broad,120,0.997268306230551,0.28653953839308605,0.09769007048557243,0.9531722238121978,0.9881573698905984,37,32,430.48717280023266,0.0,430.48717280023266
8,AIBA,120,0.9975952780055638,0.3329912300673566,0.5096496039878669,0.9531776184627196,0.9899459939125521,43,31,430.2888213994447,7.6547338999807835,437.9435552994255
8,Broad,120,0.9966185093551697,0.2159372475717539,0.11854592165715949,0.9093186933358924,0.9863697949288315,33,20,397.90263999975286,0.0,397.90263999975286
9,AIBA,120,0.9968325615344877,0.2992430723761139,0.522843851391251,0.9262454051901179,0.9840843490772911,34,27,387.8910383004695,5.391220899997279,393.2822592004668
9,Broad,120,0.9976878826600847,0.19879769295925218,0.06205383620191335,0.8770687460265162,0.9804615638208445,28,22,333.80748900037725,0.0,333.80748900037725
10,AIBA,120,0.9960712057257703,0.3325734238177082,0.6015066223792371,0.9788827182115873,0.9909916490671766,49,39,395.1267698992742,6.280984599958174,401.4077544992324
10,Broad,120,0.9962818880318843,0.1605451177414336,0.020394197004518833,0.9108692687530384,0.9887191670451332,33,25,374.08318099938333,0.0,374.08318099938333
