batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
1,12,5.325436308574543e-05,197,0.00017246440216933163,1,0.5,-0.1205989226247095,2.0812283999985084,12,1577,112027,1,initial_shared
1,296,0.011993709537195689,115,9.166504135865113e-05,2,0.5,0.9919526904311337,46.73772689991165,296,14261,112028,1,initial_shared
169,31,0.012557097713410887,221,3.103576493641207e-05,2,0.0,0.9881389918600769,0.4849783999379724,31,50831,112029,1,initial_shared
17,72,1.2073118883213726e-05,9,0.22415597987482588,3,1.0,-0.5384651828732765,1.19513560004998,72,253,112030,1,initial_shared
56,228,0.0011044019333346885,187,0.14022416567555046,3,0.5,0.985718552049005,2.3115228000096977,228,71809,112031,1,initial_shared
34,2,0.0017395768672624687,7,0.015392595735529674,3,0.5,-0.5372076743058383,0.5433809999376535,2,169,112032,1,initial_shared
154,19,0.0323577846739894,282,0.003001709222586718,3,1.0,-0.03600566916688108,0.6296759999822825,19,161869,112033,1,initial_shared
2,49,9.129381509976056e-05,481,2.5086444485789893e-05,3,0.5,0.9012485777303734,13.040875000064261,49,467533,112034,1,initial_shared
25,2,7.955642181325255e-05,406,2.9779068878380373e-05,3,0.5,-0.361676255718157,0.5329053000314161,2,333733,112035,1,initial_shared
29,95,1.0144527909508874e-05,19,0.0004919456093795049,2,0.5,-0.6699728715773721,1.1191492999205366,95,533,112036,1,initial_shared
2,5,0.005761945043638675,20,0.00013159468526502088,1,1.0,0.589636842765779,0.623340200050734,5,161,112037,1,initial_shared
3,222,3.447041758989228e-05,49,0.004377675506894548,3,1.0,0.46820649750960586,12.297270399983972,222,5293,112038,1,initial_shared
2,31,0.0009235817624518835,9,0.07940280544104128,2,1.0,0.4645470971725628,2.510014500003308,31,163,112039,1,initial_shared
9,1,0.000121788571403829,543,0.002323477206050314,1,1.0,-0.521395056672969,0.30832409998402,1,4345,112040,1,initial_shared
